unique_id,ds,y
SKU_02,2021-01-01,7.0
SKU_02,2021-01-02,2.0
SKU_02,2021-01-03,9.0
SKU_02,2021-01-04,98.0
SKU_02,2021-01-05,113.0
SKU_02,2021-01-06,110.0
SKU_02,2021-01-07,127.0
SKU_02,2021-01-08,73.0
SKU_02,2021-01-09,11.0
SKU_02,2021-01-10,11.0
SKU_02,2021-01-11,92.0
SKU_02,2021-01-12,113.0
SKU_02,2021-01-13,78.0
SKU_02,2021-01-14,81.0
SKU_02,2021-01-15,56.0
SKU_02,2021-01-16,14.0
SKU_02,2021-01-17,16.0
SKU_02,2021-01-18,57.0
SKU_02,2021-01-19,95.0
SKU_02,2021-01-20,77.0
SKU_02,2021-01-21,71.0
SKU_02,2021-01-22,51.0
SKU_02,2021-01-23,12.0
SKU_02,2021-01-24,9.0
SKU_02,2021-01-25,100.0
SKU_02,2021-01-26,89.0
SKU_02,2021-01-27,126.0
SKU_02,2021-01-28,73.0
SKU_02,2021-01-29,70.0
SKU_02,2021-01-30,9.0
SKU_02,2021-01-31,18.0
SKU_02,2021-02-01,103.0
SKU_02,2021-02-02,87.0
SKU_02,2021-02-03,84.0
SKU_02,2021-02-04,108.0
SKU_02,2021-02-05,74.0
SKU_02,2021-02-06,22.0
SKU_02,2021-02-07,12.0
SKU_02,2021-02-08,80.0
SKU_02,2021-02-09,36.0
SKU_02,2021-02-10,65.0
SKU_02,2021-02-11,101.0
SKU_02,2021-02-12,80.0
SKU_02,2021-02-13,15.0
SKU_02,2021-02-14,1.0
SKU_02,2021-02-15,70.0
SKU_02,2021-02-16,55.0
SKU_02,2021-02-17,59.0
SKU_02,2021-02-18,52.0
SKU_02,2021-02-19,43.0
SKU_02,2021-02-20,22.0
SKU_02,2021-02-21,16.0
SKU_02,2021-02-22,74.0
SKU_02,2021-02-23,114.0
SKU_02,2021-02-24,86.0
SKU_02,2021-02-25,67.0
SKU_02,2021-02-26,67.0
SKU_02,2021-02-27,12.0
SKU_02,2021-02-28,7.0
SKU_02,2021-03-01,94.0
SKU_02,2021-03-02,52.0
SKU_02,2021-03-03,92.0
SKU_02,2021-03-04,61.0
SKU_02,2021-03-05,86.0
SKU_02,2021-03-06,5.0
SKU_02,2021-03-07,11.0
SKU_02,2021-03-08,169.0
SKU_02,2021-03-09,80.0
SKU_02,2021-03-10,92.0
SKU_02,2021-03-11,128.0
SKU_02,2021-03-12,79.0
SKU_02,2021-03-13,6.0
SKU_02,2021-03-14,4.0
SKU_02,2021-03-15,80.0
SKU_02,2021-03-16,59.0
SKU_02,2021-03-17,78.0
SKU_02,2021-03-18,97.0
SKU_02,2021-03-19,64.0
SKU_02,2021-03-20,12.0
SKU_02,2021-03-21,13.0
SKU_02,2021-03-22,47.0
SKU_02,2021-03-23,120.0
SKU_02,2021-03-24,39.0
